Mov_id,Title,Year,Critic_rate,Aud_rate,Aud_count,Dir_id
87,Dunston Checks In,1996,3.8,2.5,2935,ken_kwapis
88,Black Sheep,2006,6.4,3.2,19454,1178642-jonathan_king
89,Nick of Time,1995,4.6,3.1,10563,john_badham
90,The Journey of August King,1995,6.2,3.1,286,john_duigan
92,Mary Reilly,1996,4.4,2.8,3733,stephen_frears
93,Vampire in Brooklyn,1995,3.6,2.4,6122,wes_craven
94,Beautiful Girls,1996,7,3.6,4674,ted_demme
95,Broken Arrow,1996,5.8,2.9,12489,john_woo
96,In the Bleak Midwinter,1995,7.3,4.1,309,kenneth_branagh
97,La haine,1995,8,4.3,11987,mathieu_kassovitz
98,Going Shopping,2005,5,2.8,691,henry_jaglom
99,Heidi Fleiss: Hollywood Madam,1995,7.5,3,281,nick_broomfield
100,City Hall,1996,6.1,3,2730,harold_becker
101,Bottle Rocket,1996,6.6,3.7,16217,wes_anderson
102,Mr. Wrong,1996,3.1,2.4,1544,1040953-nick_castle
103,Unforgettable,1996,4.4,3,358,john_dahl
104,Happy Gilmore,1996,5.5,3.7,114875,dennis_dugan
105,The Bridges of Madison County,1995,7.2,3.6,11573,clint_eastwood
106,Keiner liebt mich,1994,6,4.2,161,doris_doerrie
107,Muppet Treasure Island,1996,6.1,3.2,8588,brian_henson
110,Braveheart,1995,7,3.8,204275,mel_gibson
111,Taxi Driver,1976,8.7,4.1,58145,martin_scorsese
112,Hung fan kui,1995,6.4,3.1,7517,stanley_tong
113,Before and After,1996,4.8,3,1276,barbet_schroeder
114,Margaret's Museum,1995,6.9,3.7,500,mort_ransen
115,Le bonheur est dans le pré,1995,0,0,0,etienne_chatiliez
116,Anne Frank Remembered,1995,7.8,3.7,1076,john_blair
117,The Young Poisoner's Handbook,1995,7.1,3.7,541,benjamin-ross
118,If Lucy Fell,1996,4,3.1,1202,eric_schaeffer
119,Steal Big Steal Little,1995,4.5,2.9,555,1022918-andrew_davis
120,Race the Sun,1996,4.8,2.9,822,charles_t_kanganis
121,The Boys of St. Vincent,1992,8.2,3.5,401,john_n_smith
122,Boomerang,1992,4.8,2.8,4751,reginald_hudlin
123,Chung Hing sam lam,1994,7.7,4.2,11068,karwai-wong
124,L'uomo delle stelle,1995,6.5,3.7,543,guiseppe_tornatore
125,Flirting with Disaster,1996,7.4,3.3,2127,david_o_russell
126,The Neverending Story III,1994,0,0,0,peter_macdonald
128,Jupiter's Wife,1995,0,0,0,michel_negroponte
129,Pie in the Sky,1996,0,0,0,bryan_gordon
130,Angela's Ashes,1999,5.7,3.6,4588,1042742-alan_parker
131,Frankie Starlight,1995,5.8,3.8,133,michael_lindsayhogg
132,The Curse of the Jade Scorpion,2001,5.2,3.1,4108,woody_allen
134,Sonic Outlaws,1995,0,0,0,craig_baldwin
135,Down Periscope,1996,3.8,2.8,3851,david_s_ward
136,From the Journals of Jean Seberg,1995,7.6,4,30,1045365-mark_rappaport
137,Man of the Year,2006,4.4,3,29127,barry_levinson
139,Hard Target,1993,5.2,0,0,john_woo
140,Up Close & Personal,1996,5.1,3.2,2932,jon_avnet
141,The Birdcage,1996,6.7,3.3,13502,mike_nichols
143,Gospa,1995,\N,\N,\N,_0781341
144,The Brothers McMullen,1995,7.1,3.2,1225,edward_burns
145,Bad Boys,1995,4.8,3.5,67658,michael_bay
146,The Amazing Panda Adventure,1995,4.3,3,1335,christopher_cain
147,The Basketball Diaries,1995,4.9,3.5,12119,scott-kalvert
148,An Awfully Big Adventure,1995,5.4,3.2,1433,mike_newell
149,The Moguls,2005,3.9,3,8865,michael_traeger
150,Apollo 13,1995,8,3.6,30565,ron_howard
151,Rob Roy,1995,6.3,3.3,5253,michael_catonjones
152,Basic Instinct 2,2006,3.1,2.5,28208,michael_catonjones
153,Batman Forever,1995,5.2,2.9,47498,joel_schumacher
154,Belle de jour,1967,8.6,4,1378,luis_bunuel
155,Beyond Rangoon,1995,5.1,3.5,3962,john_boorman
156,Blue in the Face,1995,5.5,3.5,1323,paul_auster
157,Canadian Bacon,1995,3.3,2.9,3460,1055159-michael_moore
158,Casper,1995,4.7,3,20672,brad_silberling
159,Clockers,1995,6.5,3.5,2502,spike_lee
160,Congo,1995,3.6,2.6,7008,frank_marshall
161,Crimson Tide,1995,7.4,3.5,11550,tony_scott
162,Crumb,1994,8.3,4,2689,terry_zwigoff
163,Desperado,1995,6.3,3.5,23821,robert_rodriguez
164,Devil in a Blue Dress,1995,7.3,3.3,2742,carl_franklin
165,Die Hard: With a Vengeance,1995,5.7,3.6,61394,john_mctiernan
166,The Doom Generation,1995,4.9,3.3,2680,gregg_araki
167,Feast of July,1995,6.2,2.9,226,christopher_menaul
168,First Knight,1995,5.2,3,13290,jerry_zucker
169,Free Willy 2: The Adventure Home,1995,4.6,2.8,8336,dwight_h_little
170,Hackers,1995,4.7,3.2,16863,iain_softley
171,Jeffrey,1995,6.1,3.4,836,christopher-ashley
172,Johnny Mnemonic,1995,3.3,2.5,7062,robert_longo
173,Judge Dredd,1995,3.6,2.5,10571,danny_cannon
174,Jury Duty,1995,2.1,2.4,1843,john_fortenberry
175,Kids,1995,5,3.5,11282,1176587-larry_clark
176,Living in Oblivion,1995,7.4,3.8,1878,tom_dicillo
177,Lord of Illusions,1995,5.7,3,2344,clive_barker
178,Love & Human Remains,1993,6.5,0,0,denys_arcand
179,Mad Love,1995,0,0,0,jill_goldman
180,Mallrats,1995,5.4,3.6,40221,1030366-kevin_smith
181,Mighty Morphin Power Rangers: The Movie,1995,4.6,2.7,5904,bryan_spicer
182,Moonlight and Valentino,1995,4.6,3.1,978,david_anspaugh
183,Mute Witness,1994,6.9,3.2,644,anthony_waller
184,Nadja,1994,0,0,0,rodney_gibbons
185,The Net,1995,5.1,2.8,10933,irwin_winkler
186,Nine Months,1995,4.3,2.7,8930,chris_columbus
187,Party Girl,1995,6.3,3.5,1243,daisy_von_scherler_mayer
188,The Prophecy,1995,5.2,3.3,5062,gregory_widen
189,The Reckless Moment,1949,0,0,0,max-ophuls
190,Fail-Safe,1964,7.6,0,0,sidney_lumet
191,The Scarlet Letter,1995,3,2.9,3493,roland_joffe
193,Showgirls,1995,2.9,2.3,7443,paul_verhoeven
194,Smoke,1995,7.8,3.9,3101,wayne_wang
195,Something to Talk About,1995,5.3,3,6137,162659443
196,Species,1995,4.9,2.7,6716,roger_donaldson
197,The Stars Fell on Henrietta,1995,4.9,3,66,james_keach
198,Strange Days,1995,6,3.3,7016,kathryn_bigelow
199,Les parapluies de Cherbourg,1964,8.6,4.1,3199,jacques_demy
200,The Tie That Binds,1995,2.8,3,286,wesley_strick
201,Three Wishes,1995,4.4,3,1249,martha_coolidge
202,Total Eclipse,1995,4.9,3.4,2222,agnieszka_holland
203,To Wong Foo Thanks for Everything Julie Newmar,1995,5,3.1,6833,beeban_kidron
204,Under Siege 2: Dark Territory,1995,4.5,2.6,5213,geoff_murphy
205,Unstrung Heroes,1995,6.3,3.2,530,diane_keaton
206,Unzipped,1995,6.7,3.3,64,douglas-keeve
207,A Walk in the Clouds,1995,5.5,3.3,12692,alfonso_arau
208,Waterworld,1995,5.1,2.6,18023,kevin_reynolds
209,White Man's Burden,1995,4.5,2.8,1275,desmond_nakano
210,Wild Bill,1995,\N,\N,\N,walter_hill
211,The Browning Version,1951,7.8,4.3,270,anthony_asquith
212,Bushwhacked,1995,2.1,2.6,1388,greg_beeman
213,Utomlyonnye solntsem,1994,7,4.3,1533,nikita_mikhalkov
214,Before the Rain,1994,7.5,4.4,1683,milcho_manchevski
215,Before Sunrise,1995,8.2,4.1,20616,richard_linklater
216,Billy Madison,1995,4.8,3.5,91595,tamra_davis
217,The Babysitters,2007,4.4,2.9,1237,1013435-david_ross
218,Boys on the Side,1995,6,3.1,4572,herbert_ross
219,The Cure,1995,5.5,3.7,2207,peter_horton
220,Castle Freak,1995,5.4,0,0,stuart_gordon
222,Circle of Friends,1995,6.5,3.3,3292,pat_oconnor
223,Clerks.,1994,7.4,3.8,57642,1030366-kevin_smith
224,Don Juan DeMarco,1994,5.8,3.3,14169,jeremy_leven
225,Disclosure,1994,5.7,2.8,3648,barry_levinson
226,Tucker: The Man and His Dream,1988,7.2,3.2,1497,francis_ford_coppola
227,Drop Zone,1994,4.1,2.7,2485,john_badham
228,Destiny Turns on the Radio,1995,2.7,2.6,446,jack_baran
229,Death and the Maiden,1994,7,3.6,1972,roman_polanski
230,Dolores Claiborne,1995,6.8,3.4,4632,taylor_hackford
231,Dumb & Dumber,1994,5.8,3.3,95871,peter_farrelly
232,Yin shi nan nu,1994,7.4,4,3802,ang_lee
233,Exotica,1994,8.3,3.7,1837,atom_egoyan
234,Exit to Eden,1994,2.4,2.3,1694,garry_marshall
235,Ed Wood,1994,7.9,3.7,28216,tim_burton
236,French Kiss,1995,5.7,3.2,11010,lawrence_kasdan
237,Forget Paris,1995,5.4,3,2108,billy_crystal
238,Far from Home: The Adventures of Yellow Dog,1995,5.2,0,0,phillip_borsos
239,A Goofy Movie,1995,5.7,3.1,17024,kevin_lima
240,Hideaway,1995,3.5,2.8,1077,brett_leonard
241,Fluke,1995,4,3.4,1598,carlo_carlei
242,Farinelli,1994,5.7,3.8,1092,gerard_corbiau
243,Flash Gordon,1980,6.3,3.1,6492,mike_hodges
244,Gumby: The Movie,1995,0,0,0,art_clokey
245,The Glass Shield,1994,5.6,3,263,charles_burnett
246,Hoop Dreams,1994,8.5,4.1,3243,1053511-steve_james
247,Heavenly Creatures,1994,8.3,3.7,8208,peter_jackson
248,Houseguest,1995,3.4,2.8,1745,randall_miller
249,Immortal Beloved,1994,6,3.8,4786,bernard_rose
250,Heavy Weights,1995,4.1,0,0,steven_brill
251,The Hunted,2003,4.7,3,5362,william_friedkin
252,I.Q.,1994,5.1,2.8,3758,fred_schepisi
253,Interview with the Vampire: The Vampire Chronicles,1994,5.8,3.7,77706,neil_jordan
254,Jefferson in Paris,1995,4.9,2.8,404,james_ivory
255,The Jerky Boys,1995,1.6,0,0,james_melkonian
256,Junior,1994,4.7,2.4,9754,ivan_reitman
257,Just Cause,1995,4,3.1,2888,arne_glimcher
258,A Kid in King Arthur's Court,1995,3.2,0,0,michael_gottlieb
259,Kiss of Death,1995,6.4,2.9,2125,barbet_schroeder
260,Star Wars,1977,8.2,4.1,147448,george_lucas
261,Little Women,1994,0,0,0,gillian_armstrong
262,A Little Princess,1995,8.4,3.4,13643,alfonso_cuaron
263,Ladybird Ladybird,1994,7.2,4,368,ken_loach
264,L'enfer,1994,7.9,3.5,421,claude_chabrol
265,Como agua para chocolate,1992,7.6,3.9,5713,alfonso_arau
266,Legends of the Fall,1994,0,0,0,edward_zwick
267,Major Payne,1995,4.6,2.9,8555,1040953-nick_castle
268,Little Odessa,1994,5.8,3.5,985,james_gray
269,Mi vida loca,1993,6.6,3.9,2251,allison_anders
270,Love Affair,1994,4.8,3.5,1260,glenn_gordon_caron
271,Losing Isaiah,1995,5.1,3.6,2364,stephen_gyllenhaal
272,The Madness of King George,1994,7.8,3.6,1886,nicholas_hytner
273,Frankenstein,1931,8.5,3.6,7211,james_whale
274,Man of the House,2005,3.3,3.1,10877,stephen_herek
275,Mixed Nuts,1994,2.8,2.9,2410,nora_ephron
276,Milk Money,1994,2.6,2.7,2126,richard_benjamin
277,Miracle on 34th Street,1947,8,3.5,5409,george_seaton
278,Miami Rhapsody,1995,6.1,2.6,766,david_frankel
279,My Family,1995,7.2,3.9,1137,gregory_nava
280,Murder in the First,1995,5.5,3.5,3888,marc_rocco
281,Nobody's Fool,1986,0,3,289,evelyn_purcell
282,Nell,1994,5,3.1,5373,michael_apted
283,New Jersey Drive,1995,6.5,3.8,814,1196862-nick_gomez
284,Nyû Yôku no koppu,1993,0,0,0,toru_murakawa
285,Beyond Bedlam,1994,0,0,0,vadim_jean
286,Nemesis 2: Nebula,1995,0,0,0,albert_pyun
287,Nina Takes a Lover,1994,5.2,3.4,125,1046415-alan_jacobs
288,Natural Born Killers,1994,6,3.5,39062,oliver_stone
289,Only You,1994,5.5,3.3,4388,norman_jewison
290,Once Were Warriors,1994,7.7,0,0,lee_tamahori
291,Poison Ivy II,1996,3.8,0,0,anne_goursaud
292,Outbreak,1995,5.6,3.1,10732,wolfgang_petersen
293,Léon,1994,6.8,4.1,59011,luc_besson
294,The Perez Family,1995,6.3,3.2,500,mira_nair
295,A Pyromaniac's Love Story,1995,3.4,3.1,773,joshua_brand
296,Pulp Fiction,1994,8.9,4.2,249269,quentin_tarantino
297,The Pink Panther 2,2009,3.5,3.1,77879,harald_zwart
298,Tui shou,1992,0,0,0,ang_lee
299,Priest,1994,7.2,3.8,1042,antonia_bird
300,Quiz Show,1994,8.1,3.5,5428,robert_redford
301,Picture Bride,1994,6.8,3.7,324,kayo-hatta
302,La reine Margot,1994,5.9,4,2511,patrice_chereau
303,The Quick and the Dead,1995,5.9,3.1,12178,sam_raimi
304,Roommates,1995,5.1,3.2,387,peter_yates
305,Prêt-à-Porter,1994,4.8,2.5,1885,robert_altman
306,Trois couleurs: Rouge,1994,8.5,4.2,9557,krzysztof_kieslowski
307,Trois couleurs: Bleu,1993,8.4,4.2,11731,krzysztof_kieslowski
308,Trzy kolory: Bialy,1994,7.5,3.9,5105,krzysztof_kieslowski
309,Pao Da Shuang Deng,1994,0,4.6,71,ping_he
310,Rent-a-Kid,1995,0,0,0,fred_gerber
312,Stuart Saves His Family,1995,4.6,2.6,531,harold_ramis
313,The Swan Princess,1994,5.3,3.1,5951,richard_rich
314,The Secret of Roan Inish,1994,7.8,3.9,1439,john_sayles
315,The Specialist,1994,3.1,2.5,5147,luis_llosa
316,Stargate,1994,5.2,3.3,23611,roland_emmerich
317,Santa Claus,1985,4.1,3.1,2513,jeannot_szwarc
318,The Shawshank Redemption,1994,8,4.4,168839,frank_darabont
319,Shallow Grave,1994,6.4,3.6,9041,danny_boyle
320,Suture,1993,6.2,3.6,236,scott_mcgehee
321,Fresa y chocolate,1994,6.6,3.9,848,tomas_gutierrez_alea
322,Swimming with Sharks,1994,6.3,3.6,2888,george_huang
324,The Sum of Us,1994,6.5,3.6,1056,geoff_burton
325,Senior Trip,1995,2.6,3,1370,kelly_makin
326,Huozhe,1994,8.1,4.3,1836,zhang_yimou
327,Tank Girl,1995,4.9,2.8,7013,rachel_talalay
328,Tales from the Crypt: Demon Knight,1995,4,3.2,4989,ernest_r_dickerson
329,Star Trek: Generations,1994,5.5,3.3,15342,david_carson
330,Tales from the Hood,1995,4.3,3.1,2119,rusty_cundieff
331,Tom & Viv,1994,4.8,3.4,351,brian_gilbert
332,Village of the Damned,1995,4,2.7,4194,1040928-john_carpenter
333,Tommy Boy,1995,5.2,3.6,34476,peter_segal
334,Vanya on 42nd Street,1994,7.6,3.7,466,louis_malle
335,Underneath,1995,5.7,3,405,steven_soderbergh
336,Incubo sulla città contaminata,1980,0,0,0,hank_milestone
337,What's Eating Gilbert Grape,1993,7.3,3.7,57512,162659443
338,Virtuosity,1995,4.3,2.8,4167,brett_leonard
339,While You Were Sleeping,1995,6.5,3.2,25923,jon_turteltaub
340,War,2007,0,0,0,david_kim
341,Double Happiness,1994,7,3.4,627,mina_shum
342,Muriel's Wedding,1994,7.1,3.4,8356,pj_hogan
343,The Baby-Sitters Club,1995,6,2.9,1930,melanie_mayron
344,Ace Ventura: Pet Detective,1994,4.6,3.1,163811,tom_shadyac
345,The Adventures of Priscilla Queen of the Desert,1994,7,3.7,8695,stephan_elliott
346,Backbeat,1994,6.2,3.3,926,iain_softley
347,Bitter Moon,1992,6.2,3.8,3436,roman_polanski
348,Bullets Over Broadway,1994,7.9,3.6,3913,woody_allen
349,Clear and Present Danger,1994,6.8,3.3,11095,phillip_noyce
350,The Client,1994,6.1,3.3,7408,joel_schumacher
351,Corrina Corrina,1994,5.2,3.1,4265,jessie_nelson
352,Crooklyn,1994,6.6,4.1,3115,spike_lee
353,The Crow,1994,7,3.8,64467,alex_proyas
354,Cobb,1994,6.2,3.2,875,ron_shelton
355,The Flintstones,1994,3.7,2.5,11823,brian_levant
356,Forrest Gump,1994,6.9,4.1,205253,robert_zemeckis
357,Four Weddings and a Funeral,1994,7.5,3.2,21524,mike_newell
358,Higher Learning,1995,5.3,3.5,4026,john_singleton
359,I Like It Like That,1994,7.4,4,625,darnell_martin
360,I Love Trouble,1994,\N,\N,\N,charles_shyer
361,It Could Happen to You,1994,6.2,3,6180,andrew_bergman
362,The Jungle Book,1967,7.3,3.5,35715,wolfgang_reitherman
363,Die Macht der Bilder: Leni Riefenstahl,1993,7.6,3.7,257,ray-muller
364,The Lion King,1994,8,3.9,127550,rob_minkoff
365,Little Buddha,1993,5.8,3.1,2898,bernardo_bertolucci
366,New Nightmare,1994,6.6,3.2,11902,wes_craven
367,The Mask,1994,6.4,3.2,68419,chuck_russell
368,Maverick,1994,6,3.2,11507,richard_donner
369,Mrs. Parker and the Vicious Circle,1994,6.3,3.5,634,alan_rudolph
370,Naked Gun 33 1/3: The Final Insult,1994,5.6,2.9,10482,peter_segal
371,The Paper,1994,6.7,3.1,1357,aaron_matthews
372,Reality Bites,1994,6,3.3,10533,ben_stiller
373,Red Rock West,1993,7.5,0,0,john_dahl
374,Ri¢hie Ri¢h,1994,4.2,2.5,10242,donald_petrie
375,Safe Passage,1994,5.8,3.4,310,robert_allan_ackerman
376,The River Wild,1994,5.8,2.9,5610,curtis_hanson
377,Speed,1994,7.6,3.3,51008,jan_de_bont
378,Speechless,1994,3.9,2.8,683,ron_underwood
379,Timecop,1994,5.3,2.6,6534,peter_hyams
380,True Lies,1994,6.4,3.2,27905,james_cameron
381,When a Man Loves a Woman,1994,6.5,3.3,6791,luis_mandoki
382,Wolf,1994,5.9,2.8,6634,mike_nichols
383,Wyatt Earp,1994,5.3,3.2,8070,lawrence_kasdan
384,Bad Company,2002,3.9,2.8,6415,joel_schumacher
385,A Man of No Importance,1994,7,3.6,111,suri_krishnamma
386,S.F.W.,1994,3.2,3,1184,jefery_levy
387,A Low Down Dirty Shame,1994,3.6,2.9,3460,keenen_ivory_wayans
388,This Boy's Life,1993,6.3,3.5,5072,michael_catonjones
389,Le colonel Chabert,1994,7.1,3.6,142,yves-angelo
390,Faster Pussycat! Kill! Kill!,1965,6.9,3.8,3351,russ_meyer
391,Jason's Lyric,1994,6,4,2470,doug_mchenry
392,The Secret Adventures of Tom Thumb,1993,6.3,0,0,dave_borthwick
393,Street Fighter,1994,2.9,2.2,10305,steven_e_de_souza
394,In Cold Blood,1967,8.3,3.8,2614,richard_brooks_i
395,Desert Winds,1995,4.3,4,36,francoise_kohler
396,Fall Time,1995,0,0,0,paul_warner
397,Cape Fear,1991,6.9,3.4,13943,martin_scorsese
398,Frank and Ollie,1995,7.3,3.9,177,theodore_thomas
401,Mirage,1965,0,0,0,edward_dmytryk
402,Open Season,2006,5.4,3.4,91895,roger_allers
404,Brother Minister: The Assassination of Malcolm X,1994,0,4.2,76,jack-baxter
405,Highlander III: The Sorcerer,1994,0,0,0,_0602452
406,Federal Hill,1994,6.4,3,131,michael_corrente
407,In the Mouth of Madness,1995,5,3.5,5731,1040928-john_carpenter
408,8 Seconds,1994,5.2,3.6,7861,john_g_avildsen
409,Above the Rim,1994,5.4,3.5,4319,jeff_pollack
410,Addams Family Values,1993,6.3,3.1,21548,barry_sonnenfeld
412,The Age of Innocence,1993,\N,\N,\N,martin_scorsese
413,Airheads,1994,4.2,2.9,13551,michael_lehmann
414,The Air Up There,1994,4,2.6,2385,paul_michael_glaser
415,Another Stakeout,1993,3.9,2.5,1861,john_badham
416,Bad Girls,1994,3.5,2.8,5946,jonathan_kaplan
417,Vicky Cristina Barcelona,2008,6.9,3.6,45494,woody_allen
418,Being Human,2008,\N,\N,\N,
419,The Beverly Hillbillies,1993,3.6,2.5,4897,penelope_spheeris
420,Beverly Hills Cop III,1994,3.3,2.9,12777,john_landis
421,Black Beauty,1994,0,0,0,darren_doane
423,Blown Away,1994,4.8,2.9,3591,stephen_hopkins
424,Blue Chips,1994,5.1,3,1545,william_friedkin
425,Blue Sky,1994,6.3,3.2,809,tony_richardson
426,Invasion of the Body Snatchers,1956,8.9,3.6,3820,don_siegel
427,Boxing Helena,1993,3.7,2.6,1775,jennifer-lynch
428,A Bronx Tale,1993,7.4,3.9,17840,robert_de_niro
429,Cabin Boy,1994,4.9,2.4,1694,adam_resnick
430,Calendar Girls,2003,6.5,3.1,8453,nigel-cole
431,Carlito's Way,1993,6.8,3.8,32475,brian_de_palma
432,City Slickers II: The Legend of Curly's Gold,1994,3.6,2.7,5885,paul_weiland
433,Clean Slate,1994,4.1,2.5,630,mick_jackson
434,Cliffhanger,1993,6.3,2.8,9768,renny_harlin
435,Coneheads,1993,4.5,2.6,9202,steve_barron
436,Color of Night,1994,3.9,2.7,3955,richard_rush
437,Cops and Robbersons,1994,3.5,2.5,1201,michael_ritchie
438,The Cowboy Way,1994,4.2,3,2782,gregg_champion
440,Dave,1993,7.4,3.1,4985,ivan_reitman
441,Dazed and Confused,1993,7.9,3.8,45956,richard_linklater
442,Demolition Man,1993,5.6,3,16135,marco_brambilla
443,The Endless Summer 2,1994,5.8,4,802,bruce_brown
444,Even Cowgirls Get the Blues,1993,3.2,2.6,1583,gus_van_sant
445,Fatal Instinct,1993,4.2,2.6,808,carl_reiner
446,Ba wang bie ji,1993,7.4,4.1,4321,kaige_chen
447,The Favor,1994,4.9,2.8,891,donald_petrie
448,Huo Yuan Jia,2006,0,0,0,kuk_kwok_leung
449,Fear of a Black Hat,1994,7,3.8,898,rusty_cundieff
450,With Honors,1994,4,3.3,3484,alek-keshishian
451,Flesh and Bone,1993,6.1,3,851,steve_kloves
452,Widows' Peak,1994,7.1,3.2,348,john_irvin
453,For Love or Money,1993,\N,\N,\N,barry_sonnenfeld
454,The Firm,1993,6.2,3.2,11507,sydney_pollack
455,Free Willy,1993,5.5,2.9,19451,simon_wincer
456,Fresh,1994,7.5,4,1823,boaz_yakin
457,The Fugitive,1993,7.6,3.6,28862,1022918-andrew_davis
458,Geronimo: An American Legend,1993,6.2,3.2,1686,walter_hill
459,A Perfect Getaway,2009,5.8,3.2,102622,david_twohy
460,Getting Even with Dad,1994,3.3,2.4,2200,howard_deutch
461,Go Fish,1994,6.6,3.2,898,lawrence_l_simeone
